timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1776964202709,190,Home,200,,Thread-Gruppe 1-1,text,true,,9118,148,1,1,http://localhost:8080/tools.descartes.teastore.webui/,186,0,8
1776964204962,37,Home,200,,Thread-Gruppe 1-2,text,true,,9118,148,2,2,http://localhost:8080/tools.descartes.teastore.webui/,37,0,2
1776964205603,91,Login,200,,Thread-Gruppe 1-1,text,true,,10446,1020,2,2,http://localhost:8080/tools.descartes.teastore.webui/,67,0,0
1776964205603,67,Login-0,302,,Thread-Gruppe 1-1,,true,,801,276,2,2,http://localhost:8080/tools.descartes.teastore.webui/loginAction,67,0,0
1776964205675,19,Login-1,200,,Thread-Gruppe 1-1,text,true,,9645,744,2,2,http://localhost:8080/tools.descartes.teastore.webui/,19,0,0
1776964207605,52,Login,200,,Thread-Gruppe 1-2,text,true,,10447,1021,3,3,http://localhost:8080/tools.descartes.teastore.webui/,38,0,0
1776964207605,38,Login-0,302,,Thread-Gruppe 1-2,,true,,802,276,3,3,http://localhost:8080/tools.descartes.teastore.webui/loginAction,38,0,0
1776964207645,12,Login-1,200,,Thread-Gruppe 1-2,text,true,,9645,745,3,3,http://localhost:8080/tools.descartes.teastore.webui/,12,0,0
1776964208018,27,Home,200,,Thread-Gruppe 1-3,text,true,,9118,148,3,3,http://localhost:8080/tools.descartes.teastore.webui/,27,0,1
1776964208564,57,List Products,200,,Thread-Gruppe 1-1,text,true,,152087,770,3,3,http://localhost:8080/tools.descartes.teastore.webui/category?category=4&page=1,51,0,0
1776964209821,65,Login,200,,Thread-Gruppe 1-3,text,true,,10447,1021,4,4,http://localhost:8080/tools.descartes.teastore.webui/,28,0,0
1776964209821,28,Login-0,302,,Thread-Gruppe 1-3,,true,,802,276,4,4,http://localhost:8080/tools.descartes.teastore.webui/loginAction,28,0,0
1776964209850,36,Login-1,200,,Thread-Gruppe 1-3,text,true,,9645,745,4,4,http://localhost:8080/tools.descartes.teastore.webui/,36,0,0
1776964209857,82,Look at Product,200,,Thread-Gruppe 1-1,text,true,,148303,758,4,4,http://localhost:8080/tools.descartes.teastore.webui/product?id=218,79,0,0
1776964210513,31,List Products,200,,Thread-Gruppe 1-2,text,true,,98521,771,4,4,http://localhost:8080/tools.descartes.teastore.webui/category?category=2&page=1,30,0,0
1776964211055,63,Add Product to Cart,200,,Thread-Gruppe 1-1,text,true,,28718,1737,4,4,http://localhost:8080/tools.descartes.teastore.webui/cart,32,0,0
1776964211055,32,Add Product to Cart-0,302,,Thread-Gruppe 1-1,,true,,931,863,4,4,http://localhost:8080/tools.descartes.teastore.webui/cartAction,32,0,0
1776964211088,30,Add Product to Cart-1,200,,Thread-Gruppe 1-1,text,true,,27787,874,4,4,http://localhost:8080/tools.descartes.teastore.webui/cart,30,0,0
