timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1776963451737,15,Login-1,200,,Thread-Gruppe 1-6,text,true,,9645,745,10,10,http://localhost:8080/tools.descartes.teastore.webui/,15,0,0
1776963451329,423,Logout,200,,Thread-Gruppe 1-10,text,true,,10823,1826,10,10,http://localhost:8080/tools.descartes.teastore.webui/,408,0,0
1776963451329,408,Logout-0,302,,Thread-Gruppe 1-10,,true,,1392,1090,10,10,http://localhost:8080/tools.descartes.teastore.webui/loginAction,408,0,0
1776963451737,15,Logout-1,200,,Thread-Gruppe 1-10,text,true,,9431,736,10,10,http://localhost:8080/tools.descartes.teastore.webui/,15,0,0
1776963452139,11,Home,200,,Thread-Gruppe 1-9,text,true,,9118,148,10,10,http://localhost:8080/tools.descartes.teastore.webui/,11,0,0
1776963452295,61,Add Product 2 to Cart,200,,Thread-Gruppe 1-2,text,true,,26291,1985,10,10,http://localhost:8080/tools.descartes.teastore.webui/cart,31,0,0
1776963452295,31,Add Product 2 to Cart-0,302,,Thread-Gruppe 1-2,,true,,1051,991,10,10,http://localhost:8080/tools.descartes.teastore.webui/cartAction,31,0,0
1776963452327,29,Add Product 2 to Cart-1,200,,Thread-Gruppe 1-2,text,true,,25240,994,10,10,http://localhost:8080/tools.descartes.teastore.webui/cart,28,0,0
1776963452453,11,Logout,200,,Thread-Gruppe 1-8,text,true,,10823,1823,10,10,http://localhost:8080/tools.descartes.teastore.webui/,5,0,0
1776963452453,5,Logout-0,302,,Thread-Gruppe 1-8,,true,,1392,1087,10,10,http://localhost:8080/tools.descartes.teastore.webui/loginAction,5,0,0
1776963452458,6,Logout-1,200,,Thread-Gruppe 1-8,text,true,,9431,736,10,10,http://localhost:8080/tools.descartes.teastore.webui/,6,0,0
1776963452856,63,Add Product to Cart,200,,Thread-Gruppe 1-4,text,true,,25901,1742,10,10,http://localhost:8080/tools.descartes.teastore.webui/cart,18,0,0
1776963452856,18,Add Product to Cart-0,302,,Thread-Gruppe 1-4,,true,,934,865,10,10,http://localhost:8080/tools.descartes.teastore.webui/cartAction,18,0,0
1776963452874,45,Add Product to Cart-1,200,,Thread-Gruppe 1-4,text,true,,24967,877,10,10,http://localhost:8080/tools.descartes.teastore.webui/cart,45,0,0
1776963453028,19,List Products,200,,Thread-Gruppe 1-3,text,true,,105755,771,10,10,http://localhost:8080/tools.descartes.teastore.webui/category?category=3&page=1,17,0,0
1776963453142,39,Add Product to Cart,200,,Thread-Gruppe 1-7,text,true,,29117,1739,10,10,http://localhost:8080/tools.descartes.teastore.webui/cart,7,0,0
1776963453142,7,Add Product to Cart-0,302,,Thread-Gruppe 1-7,,true,,932,864,10,10,http://localhost:8080/tools.descartes.teastore.webui/cartAction,7,0,0
1776963453149,32,Add Product to Cart-1,200,,Thread-Gruppe 1-7,text,true,,28185,875,10,10,http://localhost:8080/tools.descartes.teastore.webui/cart,32,0,0
1776963453333,22,Look at Product,200,,Thread-Gruppe 1-1,text,true,,102829,760,10,10,http://localhost:8080/tools.descartes.teastore.webui/product?id=116,22,0,0
1776963453551,18,Logout,200,,Thread-Gruppe 1-2,text,true,,10823,1828,10,10,http://localhost:8080/tools.descartes.teastore.webui/,8,0,0
1776963453551,8,Logout-0,302,,Thread-Gruppe 1-2,,true,,1392,1092,10,10,http://localhost:8080/tools.descartes.teastore.webui/loginAction,8,0,0
1776963453559,10,Logout-1,200,,Thread-Gruppe 1-2,text,true,,9431,736,10,10,http://localhost:8080/tools.descartes.teastore.webui/,10,0,0
1776963454176,17,Home,200,,Thread-Gruppe 1-10,text,true,,9118,148,10,10,http://localhost:8080/tools.descartes.teastore.webui/,17,0,0
1776963454299,23,Login,200,,Thread-Gruppe 1-9,text,true,,10449,1023,10,10,http://localhost:8080/tools.descartes.teastore.webui/,15,0,0
1776963454299,15,Login-0,302,,Thread-Gruppe 1-9,,true,,804,276,10,10,http://localhost:8080/tools.descartes.teastore.webui/loginAction,15,0,0
1776963454314,8,Login-1,200,,Thread-Gruppe 1-9,text,true,,9645,747,10,10,http://localhost:8080/tools.descartes.teastore.webui/,8,0,0
1776963454481,34,Look at Product,200,,Thread-Gruppe 1-3,text,true,,93189,759,10,10,http://localhost:8080/tools.descartes.teastore.webui/product?id=126,34,0,0
1776963454512,28,List Products,200,,Thread-Gruppe 1-6,text,true,,152087,771,10,10,http://localhost:8080/tools.descartes.teastore.webui/category?category=4&page=1,27,0,0
1776963454586,7,Home,200,,Thread-Gruppe 1-8,text,true,,9118,148,10,10,http://localhost:8080/tools.descartes.teastore.webui/,7,0,0
1776963454700,33,Add Product 2 to Cart,200,,Thread-Gruppe 1-5,text,true,,28607,1983,10,10,http://localhost:8080/tools.descartes.teastore.webui/cart,9,0,0
1776963454700,9,Add Product 2 to Cart-0,302,,Thread-Gruppe 1-5,,true,,1050,990,10,10,http://localhost:8080/tools.descartes.teastore.webui/cartAction,9,0,0
1776963454709,24,Add Product 2 to Cart-1,200,,Thread-Gruppe 1-5,text,true,,27557,993,10,10,http://localhost:8080/tools.descartes.teastore.webui/cart,24,0,0
1776963455271,31,List Products with different page,200,,Thread-Gruppe 1-4,text,true,,122776,899,10,10,http://localhost:8080/tools.descartes.teastore.webui/category?category=5&page=5,30,0,0
